SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
[ Laughing] I think the score	Who was that cheerleader again? <i> [ Laughing] I think the score </i> And:	score	1	186160	74	US	2004			
Yo, check you guys later.	We die together. <i> Yo, check you guys later. </i> We got some trash to take out!	yo	1	4574956	1331	US	2011			
- Your, uh, squad: is gonna have a real tough time when, technically speaking, you don't exist:	- Thanks: <i> - Your, uh, squad: is gonna have a real tough time when, technically speaking, you don't exist: </i> [ Scoffs] Look around:	squad	1	186160	1414	US	2004			
"Did she just say,"""" bomb diggity"" three times"	"Monica, if you want to be the bomb diggity, you have got to act like the bomb, and Tina is the bomb diggity! <i> Did she just say,"""" bomb diggity"" three times </i> [ Crowd Cheering]"	bomb diggity	3	186160	654	US	2004			
but who seems to be a very... ah... nice young man indeed.	David, who we've also only just met, actually, <i> but who seems to be a very... ah... nice young man indeed. </i> - Amen.	ah	1	3807079	334	UK	2005			
* Drag boy, dog boy, dirty numb angel boy	Born Slippy) <i> * Drag boy, dog boy, dirty numb angel boy </i> * In a doorway boy, she was a lipstick boy	drag boy	1	4030209	444	UK	2003			
I don't wanna move to another country with you as much as I don't wanna marry you.	"I've given it enough consideration. <i> I don't wanna move to another country with you as much as I don't wanna marry you. </i> "" We"" are not an"" us"", Mike."	wanna	2	4629499	1162	UK	2012	want to		want to
I had the pleasure of scraping dog poo off Charlies football boots a toothbrush that I hope I've thrown away.	After returning from a horrid day in court, <i> I had the pleasure of scraping dog poo off Charlies football boots a toothbrush that I hope I've thrown away. </i> This was followed by a rugby match masquerading as dinner, then the existential hell of bath and bedtime.	poo	1	7039857	56	UK	2016			
I'm sure I'll be able to pull it off, and I'm sure it'll be a laugh.	I'm sure I want 500 quid a week. <i> I'm sure I'll be able to pull it off, and I'm sure it'll be a laugh. </i> I'm not sure you're sure.	pull it off	1	7039857	1163	UK	2016			
I needed a clean break.	Why didn't you tell us you dropped out of law school? <i> I needed a clean break. </i> I was fucked.	clean break	1	6910409	380	UK	2014			
Yes, well that's not going to work with me and Lily is it?	- You have sex. <i> Yes, well that's not going to work with me and Lily is it? </i> No.	work	1	6910409	188	UK	2014			
I fucking love this game, the skill, the dedication and the Hnesse on the pitch, the awesome power of the crowd in the stands.	We' H always be OK'cause our mates have got our back. <i> I fucking love this game, the skill, the dedication and the Hnesse on the pitch, the awesome power of the crowd in the stands. </i> Fucking fruit!	fucking	3	4629499	31	UK	2012			
Or I'll just have to pop you in the bottle with one of my special potions.	( play the fool) <i> Or I'll just have to pop you in the bottle with one of my special potions. </i> Hmm...?	play the fool	1	5151994	239	UK	2008			
Man, we're gonna have our own show.	We could do with a few more songs, though. <i> Man, we're gonna have our own show. </i> But you know I'm going on holiday tomorrow, right?	gonna	1	5814259	1074	UK	2014			
We're gonna come down quick and hard on the criminal gangs that control the flow of heroin on the estate.	We'll take a zero-tolerance stand on gun-related violence. <i> We're gonna come down quick and hard on the criminal gangs that control the flow of heroin on the estate. </i> I have spoken to Division and they concur.	gonna	1	4177060	567	UK	2009			
Come on, empty your pockets.	Hey, give me your money. <i> Come on, empty your pockets. </i> Hey you!	empty your pockets	1	5681039	582	UK	2004			
I'm gonna have something stronger than a cup of tea, actually, I think.	- I know he is, yeah. <i> I'm gonna have something stronger than a cup of tea, actually, I think. </i> - I'm gonna have a glass of wine.	gonna	1	6237485	389	UK	2014			
My work represents a positive affirmation of what it is to be gay in the 21st century.	But as long as people are stupid enough to pay for them, it's all good with me. <i> My work represents a positive affirmation of what it is to be gay in the 21st century. </i> To me, gayness isn't just about sex, it's about everything.	stupid	1	4204063	384	UK	2009			
Chris, what are you doin', man?	Cool. <i> Chris, what are you doin', man? </i> Don't fuck about with me.	doin'	1	6010762	226	UK	2012			
I just want my weed, man.	Allow me, man. <i> I just want my weed, man. </i> Allow it, man.	weed	2	6010762	545	UK	2012	a funny plant that makes you stare at a wall for 10 minutes until you realize thats not the tv.	https://www.urbandictionary.com/define.php?term=Weed	marijuana
Move it	- Fucking up, get her to move Kelly <i> Move it </i> You little cunt!	fucking	2	3121411	564	UK	2006			
It's a long story, can I help ya?	What happened to your face? <i> It's a long story, can I help ya? </i> yeah, a fucking- 30 quid no way- fuck off mate, it's 30 quid	ya	2	3121411	432	UK	2006			
- Shut up, ok it's out of my fucking hand now i fucking looked after you Kelly and you do this to me, cunt's almost cut my fucking leg off	Please, let her go <i> - Shut up, ok it's out of my fucking hand now i fucking looked after you Kelly and you do this to me, cunt's almost cut my fucking leg off </i> Stewart put him on, it's Derek	fucking	2	3121411	498	UK	2006			
We're just gonna have to beat him, Pete.	Neither of those goals should've been allowed. <i> We're just gonna have to beat him, Pete. </i> Beat him if it's the last thing I do.	gonna	2	6782316	332	UK	2009			
SO YOU LET ME LIVE AND TOOK AWAY MY FRIENDS.	YOU DIDN'T HAVE THE BALLS TO TAKE ME, <i> SO YOU LET ME LIVE AND TOOK AWAY MY FRIENDS. </i> YOU BASTARD.	balls	1	5837569	1486	UK	2002			
I'm gonna be the man who's growing old with you	Well, I know I'm gonna be <i> I'm gonna be the man who's growing old with you </i> But I would walk 500 miles	gonna	2	4107485	1213	UK	2010	going to, mean to		going to
Look, I was going to cook myself fish fingers and watch the match on telly.	I think you're the funniest, sexiest, realist East End slapper I've ever met, and, in case you hadn't worked it out., I don't give up that easily. <i> Look, I was going to cook myself fish fingers and watch the match on telly. </i> Sounds good.	telly	1	6338678	255	UK	2008			
I swear I'm going mad, blood.	"I thought I see him on the train, innit? <i> I swear I'm going mad, blood. </i> I wanted to spark him, then I thought,"" Let me calm down."""	blood	1	3345059	1120	UK	2008			
- Safe for what you did, blood.	Yout! <i> - Safe for what you did, blood. </i> - I didn't do nothing, man.	blood	1	3345059	581	UK	2008			
She works in that salon ting in Grove.	Saw Becky a couple of months ago. <i> She works in that salon ting in Grove. </i> Don't know where Alisa is, and Jay...	ting	2	3345059	380	UK	2008			
I better dust before my man gets annoyed, yeah?	Listen, man, I... <i> I better dust before my man gets annoyed, yeah? </i> Listen, man, how long armed-response unit take to come round here?	yeah	2	3345059	1530	UK	2008			
Move, man, move over, dawg.	What about Sabrina? <i> Move, man, move over, dawg. </i> Hey, yo, Jason!	dawg	3	3468388	489	US	2007			
Guillermo runnin his mouth, man.	JB... <i> Guillermo runnin his mouth, man. </i> Punk ass said you snuck him in the shower.	runnin	1	5536320	592	US	2014			
- And I can run it, Wesley!	Dad wanted me to run this company, Wesley, me! <i> - And I can run it, Wesley! </i> ( WHISPERS) Walter.	run it	1	5697912	1783	US	2012			
Does your mama know what you're fitting doing here right now, man?	You thought wrong. <i> Does your mama know what you're fitting doing here right now, man? </i> Does your mama know?	fitting	1	3468388	417	US	2007			
Nigga, that's why you dressed up like you going to church, man?	Gotta take a piss test for this job interview. <i> Nigga, that's why you dressed up like you going to church, man? </i> Yeah, nigga, that's why.	nigga	2	3468388	310	US	2007			
I knew you were cool.	Hey, Mary. <i> I knew you were cool. </i> ♪ Uh-oh, there's a new kid in town ♪	cool	2	5536320	260	US	2014			
You want to start a fight with a man and boo-hoo when he fight back!	See, that's what's wrong with women, man. <i> You want to start a fight with a man and boo-hoo when he fight back! </i> Walter.	boo hoo	1	5697912	297	US	2012			
It's a fresh start in a sick-ass city.	This is the best thing you've ever done. <i> It's a fresh start in a sick-ass city. </i> It's all good.	fresh start	1	3877824	8	US	2009			
I witnessed Federov conspire with CIA agent John Hanley to bomb a civilian building.	During that time, <i> I witnessed Federov conspire with CIA agent John Hanley to bomb a civilian building. </i> That bombing was the start of the second Chechen war.	witnessed	1	5891414	1131	US	2014			
He ​ ​ could easily lit, if you had blood in your body instead of coolant.	Phil here is a delicacy. <i> He ​ ​ could easily lit, if you had blood in your body instead of coolant. </i> - For God's sake, what...	blood in your body	1	5178727	1108	US	2010			
I think she decided that whatever was in me now was dark and ugly and better left where it was, as long as it was not near her and the kids.	I never told Lisa the truth, choosing instead to let her imagine the worst of me. <i> I think she decided that whatever was in me now was dark and ugly and better left where it was, as long as it was not near her and the kids. </i> What was I doing here?	kids	1	6692456	1581	US	2016			
"At her age, she ought to be playing"" beat the clock."""	"You are playing hard to get! <i> At her age, she ought to be playing"" beat the clock."" </i> ( BOTH LAUGHING)"	you are playing hard to get	1	5653079	1486	US	2012			
That was the lowest, shittiest, dickhead move I've ever seen.	- PATRICK: <i> That was the lowest, shittiest, dickhead move I've ever seen. </i> Second lowest.	dickhead	1	5166024	1532	US	2013			
Sam, I need that tall decaf vanilla drip right away.	Thank you. <i> Sam, I need that tall decaf vanilla drip right away. </i> A vanilla drip.	decaf	1	4728198	325	US	2001			
Come party with your brother.	Come join the party, man. <i> Come party with your brother. </i> When Mom's in Miami, I'm the boss.	party	1	6406429	724	US	2001			
Pick your ass up off the bed so we can strip it, man.	We should wash that shit off. <i> Pick your ass up off the bed so we can strip it, man. </i> Let's go, kid.	ass	1	6406429	1435	US	2001			
He treats women like they're trash, but he makes six figures.	If Armando can do it, that man is such an asshole. <i> He treats women like they're trash, but he makes six figures. </i> Well, he's got a pretty good life, no?	trash	1	5450161	1165	US	2013			
Don't worry your pretty little spick head off.	You're gonna come fall in through the door behind me. <i> Don't worry your pretty little spick head off. </i> Anyway, that was all I wanted to say.	spick	2	6801883	8	US	2014			
Not much to do in town, it's pretty dead over there, and uh... you know, we needed somethin' to do.	We were just havin' a little fun. <i> Not much to do in town, it's pretty dead over there, and uh... you know, we needed somethin' to do. </i> - Really?	dead over there	1	4953583	126	US	2013			
"You know, in my country, the police say"" Gracias"" after being paid off."	"Three million dollars in Swiss accounts per our agreement. <i> You know, in my country, the police say"" Gracias"" after being paid off. </i> If you're going to continue driving like a maniac,"	paid off	2	4953583	550	US	2013	a politician who is bought off by big corporations, and does the bidding of their corporate overlords.	https://www.urbandictionary.com/define.php?term=paid%20off	big tax-carve out
# And if you give her one chance, man## she's gonna take you right to yourself#	# You might not see something## that might say it ever again# <i> # And if you give her one chance, man## she's gonna take you right to yourself# </i> # Yourself#	gonna	1	3546395	1193	US	2009			
I was just gonna ride my bike for the camera.	What are you doing outside? <i> I was just gonna ride my bike for the camera. </i> You stay with Grandma.	gonna	1	3279503	806	US	2008			
It's trying to kill me, man!	It's a snake! <i> It's trying to kill me, man! </i> Get this thing off me!	man	1	135737	1826	US	2000			
She was not gonna be head cheerleader:	Sweet! <i> She was not gonna be head cheerleader: </i> And--	gonna	1	186160	797	US	2004			
This is Beat War not trainir day, chump!	Trainir? <i> This is Beat War not trainir day, chump! </i> I'm da king, remember?	chump	2	4574956	1078	US	2011			
That team of four is multiplied by another team of four, so every night I drop 200 grand to my boss.	That means I take back 100 to 120 grand every night for my team of four. <i> That team of four is multiplied by another team of four, so every night I drop 200 grand to my boss. </i> - And who's that?	grand	1	4629499	377	UK	2012			
Are you saying you wanna work for this company, jumped through every hoop to get here but you don't know who they are?	I thought we all did! <i> Are you saying you wanna work for this company, jumped through every hoop to get here but you don't know who they are? </i> They listed salary and benefits.	wanna	2	4938516	376	UK	2009			
But get this into your thick heads.	So, no money, and no follow-up book deal. <i> But get this into your thick heads. </i> Zoe decided it was all wrong before the film tanked.	thick	1	7039857	1708	UK	2016			
And a million quid's worth of lights, and of course, it's going out live, but, other than that...	Don't let your earpiece fall out, whatever you do. <i> And a million quid's worth of lights, and of course, it's going out live, but, other than that... </i> Okay, we're seconds.	quid's	1	7039857	1312	UK	2016			
You just asked someone you don't know their proper name to go and live abroad with' em.	- What's my real name? <i> You just asked someone you don't know their proper name to go and live abroad with' em. </i> It's not me you should be asking.	'em	2	4629499	1182	UK	2012	"a short or slang way of saying ""them"""	https://www.urbandictionary.com/define.php?term=%27em	them
- Can I come in for a sec?	- Yeah. <i> - Can I come in for a sec? </i> Um...	sec	1	4629499	1151	UK	2012			
Um, I was going to go out for a wander if you want to come.	I'm fine. <i> Um, I was going to go out for a wander if you want to come. </i> No, I'm just gonna to stay here.	um	1	5814259	556	UK	2014			
Fucking, just gave him a couple of slaps, that's all, man.	Then what? <i> Fucking, just gave him a couple of slaps, that's all, man. </i> He had this fucking big shank, man.	fucking	3	4177060	631	UK	2009			
What the fuck are you doing, man?	7 bills for the.38, 8 and a half for the Glock and a full grand for that Sig there. <i> What the fuck are you doing, man? </i> You don't touch the merchandise until we've seen some fucking coin.	fuck	1	4177060	519	UK	2009			
How about I just slice your tits off and stick them on the wall, hey?	Evil little cock, hey? <i> How about I just slice your tits off and stick them on the wall, hey? </i> I gave you a chance, Hannah.	tits	2	4987950	643	UK	2011	a breast, usu. a womans; usu. in pl.; thus titless adj.	https://greensdictofslang.com/entry/v5jsylq	breast
He's killed my fucking baby, man!	That's my baby. <i> He's killed my fucking baby, man! </i> That's my( 10993!	fucking	2	4987950	1014	UK	2011			
I just wanna talk, man Come on.	Come, man. <i> I just wanna talk, man Come on. </i> Let's go.	wanna	2	6010762	1622	UK	2012			
we don't have all bloody day thanks all right, make it quicker this time- i will i'm gonna roll	... good can we get a nother one? <i> we don't have all bloody day thanks all right, make it quicker this time- i will i'm gonna roll </i> yeah?	bloody	2	3121411	455	UK	2006	a general negative adj., abominable or terrible; esp. in the uk and aus., where it is so widespread as to be termed the great australian adjective.	https://greensdictofslang.com/entry/k5ukyhq	damn
what else am i gonna fire out of it?	- it fucking pains, look at my fucking leg you want shells? <i> what else am i gonna fire out of it? </i> i want on me, in case Stewart Allen comes after me'll kill her my self, that stupid and their stupid fucking heads get me in this mess	gonna	1	3121411	168	UK	2006			
Give me a fucking chance, will you, man?	And hurry up, I haven't got all night. <i> Give me a fucking chance, will you, man? </i> - What's your name?	fucking	2	4136037	139	UK	2010			
You tell him, man, you tell him.	Don't you stick your oar in or I'll fucking flatten you, bastard. <i> You tell him, man, you tell him. </i> It's all your fault.	fucking	1	4136037	406	UK	2010			
I could give a fuck, just as long as it's there.	Honestly, <i> I could give a fuck, just as long as it's there. </i> There's something so...	fuck	3	4527521	46	UK	2012			
Last fella who didn't went for a swim off the end of the pier.	Everyone pays. <i> Last fella who didn't went for a swim off the end of the pier. </i> Only he didn't get very far.	fella	2	4527521	188	UK	2012			
It's bloody hard work, that's what it is.	It's not efficient. <i> It's bloody hard work, that's what it is. </i> People are starting to notice, you know.	bloody	1	4107485	743	UK	2010			
My dad come get me.	This way. <i> My dad come get me. </i> - I hope so.	dad	1	5742017	589	UK	2010			
"Bet you thought,"" She's an East End girl, bound to have a gran and a mum"""	"Probably think it's peculiar, don't you? <i> Bet you thought,"" She's an East End girl, bound to have a gran and a mum"" </i> all rallying around saying,"" You'll get over it."	gran	1	6338678	376	UK	2008			
- See, you're just like me, man.	Is this what you want? <i> - See, you're just like me, man. </i> - No, I'm nothing like you.	man	1	3345059	1726	UK	2008			
Babe, check they didn't put no onions in it.	So I don't see you in a couple of months, yeah, and you got yourself a girl, blood? <i> Babe, check they didn't put no onions in it. </i> You know how you get.	babe	2	3345059	1142	UK	2008	a term of endearment that can be seen as rather patronising		baby
Catch up with you later.	Go away, Chris. <i> Catch up with you later. </i> If you can just wait...	catch up	1	3468388	505	US	2007			
Hey, you guys made me drop the fucking blunt.	- Don't touch me, you slut. <i> Hey, you guys made me drop the fucking blunt. </i> Look, I don't know what's going on between y'all, but I wanna get high, so I'm leaving.	blunt	2	3468388	796	US	2007			
I can't have the cops come to my house.	- Well, break it up or something. <i> I can't have the cops come to my house. </i> Yo, break it up.	cops	1	3468388	739	US	2007			
'Cause you only live once, right?	Good for you. <i> 'Cause you only live once, right? </i> Yeah.	cause	1	5697912	1966	US	2012			
Come to the office, we'll straighten this out.	FALTON: <i> Come to the office, we'll straighten this out. </i> Do it!	straighten	1	5536320	1316	US	2014			
Damn, man, why you gotta yell at me and shit?	Well, we going anyway, so shut the fuck up! <i> Damn, man, why you gotta yell at me and shit? </i> No, man, I'm good.	shit	2	3468388	307	US	2007			
Yo, J, why you saying this, man?	You know what I'm saying, huh? <i> Yo, J, why you saying this, man? </i> I'm your boy.	yo	1	3468388	610	US	2007			
The sad thing is this whole motherfucking beautiful country being run by motherfucker who are just like you.	What? <i> The sad thing is this whole motherfucking beautiful country being run by motherfucker who are just like you. </i> These little... quick trigger motherfuckers just like you.	motherfucking	1	3468388	386	US	2007			
Man, you know that fool crazy.	Because Reggie want a gun. <i> Man, you know that fool crazy. </i> You know he's crazy, Reg.	fool crazy	2	3468388	304	US	2007			
I'll be to check on you in a sec.	Go to bed. <i> I'll be to check on you in a sec. </i> Lola, what are you gonna do with that gun?	sec	1	3877824	723	US	2009			
When you work a seven-day stretch on a offshore oil rig, seems like the only thing you want to do on your day off is sleep.	No. <i> When you work a seven-day stretch on a offshore oil rig, seems like the only thing you want to do on your day off is sleep. </i> It's such a hard life.	stretch	1	5653079	1594	US	2012			
This sound gets me hard as a fucking rock.	Yo, not gonna lie. <i> This sound gets me hard as a fucking rock. </i> But I don't like to go too fast right off the bat.	fucking	2	5450161	2	US	2013			
Well, can I come in?	[ Laughs] <i> Well, can I come in? </i> Yeah.	come in	1	6406429	909	US	2001			
The chocolate pretzels are a humongous hit.	Okay, good. <i> The chocolate pretzels are a humongous hit. </i> Good, good.	humongous	1	5340423	347	US	2013			
Something I've always kinda wondered is, is it the same guy I'm talking to every week or there's a few of you and you switch off, or... how does that all work?	Well, actually, I don't know if it was you. <i> Something I've always kinda wondered is, is it the same guy I'm talking to every week or there's a few of you and you switch off, or... how does that all work? </i> Well, anyway, I told the Father a while back that I stopped watching pornography, but that was a lie, I didn't stop at all.	guy	1	5450161	1799	US	2013			
But you have to promise not to get mad.	Can I bring something up? <i> But you have to promise not to get mad. </i> Jill, are you kidding me?	mad	1	5340423	1359	US	2013			
- Come on, Reuben, nor even a dog's dumb enough to buy that one.	- My mom won a lawsuit a few years back. <i> - Come on, Reuben, nor even a dog's dumb enough to buy that one. </i> Look, I don't care how you earn your living but the guys that grabbed leila, they might have.	dumb enough to buy that	1	6801883	587	US	2014			
I was killing the game.	They've got this basement where they keep some of them more specialised stuff. <i> I was killing the game. </i> You wouldn't really noticed them unless they spoke to you.	killing the game	2	6801883	641	US	2014			
If you get a hit, pass it on to the troopers.	Mine, Sheriff. <i> If you get a hit, pass it on to the troopers. </i> Wow!	hit	1	4953583	136	US	2013			
I'll brief you when we touch down.	All right. <i> I'll brief you when we touch down. </i> Update me.	touch down	1	4953583	878	US	2013			
You need to check every building that has a camera facing the street,	- Then get doing. <i> You need to check every building that has a camera facing the street, </i> I want you to check that and see if you can get an ID or a license plate.	check	1	4953583	331	US	2013			
You blow your horn and wave to the lighthouse keeper's kid on Thatcher Island.	You head out the South Channel past Rocky Neck, Ten Pound Island past Niles Pond, where I skated as a kid. <i> You blow your horn and wave to the lighthouse keeper's kid on Thatcher Island. </i> Then the birds show up.	kid	1	3372842	1431	US	2000			
- They're off to by crack.	Your little animals, grab the coin and run for the door. <i> - They're off to by crack. </i> - Definitely.	by crack	1	145382	791	US	2000			
uh, he screwed up pretty bad.	Kip Raines took the job, and he... he screwed up... <i> uh, he screwed up pretty bad. </i> And who put out the order for the job?	screwed up	1	135737	1569	US	2000			
I'll rip it right off.	If anybody ever sees this, I'll rip your nut sack off. <i> I'll rip it right off. </i> - Okay.	rip	1	6185084	683	US	2015			
If you want to get laid tonight, you better drop the fucking attitude.	I'll see you later. <i> If you want to get laid tonight, you better drop the fucking attitude. </i> [ knocking at door]	get laid	2	4218973	473	US	2011			
And that wiffle bat suckir bitch Beat Box?	What about Sugga Nigga... <i> And that wiffle bat suckir bitch Beat Box? </i> Bitches in the trunk.	wiffle	1	4574956	1321	US	2011			
I yell real loud and make the Stingers super proud:!	Hope I'm the one <i> I yell real loud and make the Stingers super proud:! </i> Brilliant:!	stingers	1	186160	23	US	2004			
- Run to granny, you prat.	Just leave me alone. <i> - Run to granny, you prat. </i> Are you alright?	prat	1	3807079	709	UK	2005			
Just run some interference, for fuck's sake.	For fuck's sake. <i> Just run some interference, for fuck's sake. </i> - All right, boys?	fuck's	1	4629499	674	UK	2012			
You've gotta have a decent haircut if you're the front man of a band.	Bit obsessed with me hair. <i> You've gotta have a decent haircut if you're the front man of a band. </i> Yeah, man.	gotta	1	4030209	872	UK	2003			
OK, I'll catch you later.	Right. <i> OK, I'll catch you later. </i> This him?	ok	1	4629499	862	UK	2012			
I wanna kill the Queen.	Ah yeah doing what? <i> I wanna kill the Queen. </i> - So you off to London then.	wanna	2	5151994	311	UK	2008	desire to		want to
It's a Victorian theme park, but it's run by neds.	I'm just saying, this is a ned city now. <i> It's a Victorian theme park, but it's run by neds. </i> What happened to the Victorians?	neds	3	5814259	717	UK	2014	stupid, coarse people without education		idiots
And how long's that gonna take?	And I've got a plan that involves a gradual reintroduction to your life, combined with a step by step reduction in your pills. <i> And how long's that gonna take? </i> Enjoying our time in Glasgow, very much so.	gonna	2	5814259	218	UK	2014	i intend to		going to
Why dont you get some kip, man.	Well, let's do our job then, won't we Dan? <i> Why dont you get some kip, man. </i> You look fucked.	kip	2	4398890	371	UK	2011	sleep, short sleep		sleep
Nah, what you need to do... is... get Ryan off the Estate, and then, the pair of you... get as far the fuck away from here as possible.	Maybe I should just murder Jones myself, man. <i> Nah, what you need to do... is... get Ryan off the Estate, and then, the pair of you... get as far the fuck away from here as possible. </i> Out there?	fuck away	1	4398890	158	UK	2011			
Fucking faggot, you run for it, you're getting this.	See this thing here, blood? <i> Fucking faggot, you run for it, you're getting this. </i> What the fuck do you want?	fucking	1	4177060	455	UK	2009			
Well, you better come in then, brother.	I heard that Kenny, and you, were the men to see. <i> Well, you better come in then, brother. </i> Put the fucking gun down, Kenneth.	brother	1	4177060	461	UK	2009			
Or is your man a jaffa?	Please. <i> Or is your man a jaffa? </i> Thanks for the tea.	jaffa	2	4987950	193	UK	2011			
But if your old man's gonna keep bartering the fuck out of you, go to family or friends or your Christian buddies.	Now, if you want help to go and get some gear, then I'll help you. <i> But if your old man's gonna keep bartering the fuck out of you, go to family or friends or your Christian buddies. </i> - You've no business with me.	bartering the fuck	1	4987950	727	UK	2011			
I fuckin' had to dash it somewhere.	About 20 feds with sniffer dogs pop out of nowhere. <i> I fuckin' had to dash it somewhere. </i> I hid it in the pram with the baby, innit?	fuckin'	2	6010762	1907	UK	2012			
I'm a pussyhole cos I'm not doing crack?	You're some pussyhole. <i> I'm a pussyhole cos I'm not doing crack? </i> - Yeah.	pussyhole	2	6010762	1419	UK	2012	the vagina.	https://greensdictofslang.com/entry/bl252wa#xtbny2q	vagina
Fat bastard enjoys his work too much.	'Cause this is what happens to troublemakers. <i> Fat bastard enjoys his work too much. </i> Yeah?	bastard	1	4471635	1051	UK	2010			
Mate, ice cream.. please flavour do you want?	some ice cream or something <i> Mate, ice cream.. please flavour do you want? </i> chocolate- chocolate	mate	1	3121411	291	UK	2006			
care for a cup of tea?	look, i've, i've fucked my leg up it's not my flat <i> care for a cup of tea? </i> that'd be fucking lovely	fucked	1	3121411	464	UK	2006			
Chum, come and pick me up	let's go <i> Chum, come and pick me up </i> They cut my fucking leg off yeah i am outside the jamo?	chum	2	3121411	145	UK	2006	a close friend, a room-mate	https://greensdictofslang.com/entry/twh6jki	friend
I wrapped it up in a tea towel, put it in the bag and I went all the way to Bradford because I were gonna kill her.	So obviously I went mad. <i> I wrapped it up in a tea towel, put it in the bag and I went all the way to Bradford because I were gonna kill her. </i> Cos my little one could have picked that up, do you know what I mean?	gonna	2	4136037	1021	UK	2010			
""" I have to move them out of the way of the kids."""	"( Lorraine)"" Dear Max, I'm sorry about the other agreements but to be honest I really forgot about them."" <i> "" I have to move them out of the way of the kids."" </i> "" Lisa seems to have a fascination for them and hides them."""	kids	1	4136037	550	UK	2010			
- I'm worried it's gonna come today.	- Where is it? <i> - I'm worried it's gonna come today. </i> I'm worried I won't be able to have it there.	gonna	2	5461631	396	UK	2003			
Catch you on the other side.	You were all right, old school. <i> Catch you on the other side. </i> Sorry about the head butt.	the other side	1	4527521	1033	UK	2012			
I'm gonna be the man who wakes up next to you	Well, I know I'm gonna be <i> I'm gonna be the man who wakes up next to you </i> When I go out	gonna	2	4107485	1188	UK	2010			
Come I just jook him and we dust, man.	No one's around, man. <i> Come I just jook him and we dust, man. </i> Just like he was gonna do to you.	jook	1	3345059	1418	UK	2008			
Blood, don't be stupid, man!	You're thinking about it, innit? <i> Blood, don't be stupid, man! </i> When I tell Omen and Blammy they're gonna laugh in your face.	man	1	3345059	757	UK	2008			
Now just fuck off and leave me alone.	That's all I know. <i> Now just fuck off and leave me alone. </i> I don't wanna get involved in any of this.	fuck off	1	3345059	320	UK	2008			
Yeah, let me beat the shit out this white boy.	Yo, get off my back, Conrad. <i> Yeah, let me beat the shit out this white boy. </i> This is what I'm gonna use to dig your eyes out of your skull and feed' em to your homeboys.	beat the shit out	1	5536320	1515	US	2014			
Yo, yo, some freaky-deaky shit going on there, man.	I was over in the shed. <i> Yo, yo, some freaky-deaky shit going on there, man. </i> You know what?	yo	1	3468388	591	US	2007			
Hurry up, look for this shit, man.	Shit! <i> Hurry up, look for this shit, man. </i> Find it?	shit	2	3468388	424	US	2007	one of the most popular profanities	https://www.urbandictionary.com/define.php?term=shit	swear
Somebody raped your girl, man.	Get up, man. <i> Somebody raped your girl, man. </i> What?	raped	1	3468388	252	US	2007			
Nigga was... you sure he even knew your sister, man?	Yeah, that motherfucker. <i> Nigga was... you sure he even knew your sister, man? </i> Man, that's what she said, all right?	nigga	2	3468388	276	US	2007	"a word that has caused racial controversey over the last few decades and up to current times. it came from the derogatory term for african amercans ""nigger"" yet it has a completely different definition than said term"	https://www.urbandictionary.com/define.php?term=nigga	controversey
♪ Hard times ain't hard to find ♪	♪ <i> ♪ Hard times ain't hard to find ♪ </i> ♪ Cause we	ain't	1	5536320	1632	US	2014			
Are you in a safe place right now?	Lola Amery. <i> Are you in a safe place right now? </i> Where are you?	safe place	1	3877824	619	US	2009			
I kill every one of you motherfuckers.	Yeah, I see a single gun, <i> I kill every one of you motherfuckers. </i> Man, get the guns!	motherfuckers	1	5536320	1414	US	2014			
We got a lot of work to do.	Come on now, Arvin. <i> We got a lot of work to do. </i> Damn, Daddy.	daddy	1	3877824	275	US	2009			
- When it's your turn, rain stick.	- Fuck volume. <i> - When it's your turn, rain stick. </i> - No, I sit and read.	rain stick	1	5178727	242	US	2010			
What are you trying to pull?	- Pardon? <i> What are you trying to pull? </i> - I'm not.	trying to pull	1	6249260	879	US	2014			
But the cop who was trying to get the story said that she was pretty incoherent, just that a man forced his way into the house with a gun and was searching for something.	She rode with the kids in the ambulance. <i> But the cop who was trying to get the story said that she was pretty incoherent, just that a man forced his way into the house with a gun and was searching for something. </i> You know who the man was?	cop	1	6692456	1032	US	2016			
Because you should totally come to Thirsty Thursdays.	So, are you guys around tonight? <i> Because you should totally come to Thirsty Thursdays. </i> - End-of-school tradition.	thirsty	1	5166024	40	US	2013			
Vicki's making eyes at you, man.	( insects chittering) <i> Vicki's making eyes at you, man. </i> Go talk to her.	making eyes	1	5166024	1303	US	2013			
Don't feel bad, little dude.	Shit, man, I am out of here. <i> Don't feel bad, little dude. </i> All guys come pretty quick the first time.	bad	1	6406429	1429	US	2001			
And my life, but you screwed up her kids lives, too, man.	And you not only screwed up her life, <i> And my life, but you screwed up her kids lives, too, man. </i> The kids she ain't never gonna have,	screwed up	2	6406429	1507	US	2001			
- in a man's life, everybody knows that!	- Having a family is the greatest joy <i> - in a man's life, everybody knows that! </i> - Then maybe I'm not a man.	man's life	1	5450161	1850	US	2013			
It's all hot mustard, Kate.	I have not eaten anything all day. <i> It's all hot mustard, Kate. </i> That's all I need.	all hot mustard	1	5340423	501	US	2013			
